source_directory,prong_L,prong_D,prong_S,handle_L,handle_D,transition_H,eigenfrequency_1
fork-pL100_0-pD7_5-pS20_6-hL51_6-hD11_2-tH12_1-735,99.95866865895658,7.5091855144885935,20.625521884975605,51.565252245698154,11.24822395252358,12.086473441132464,235.5503
fork-pL50_1-pD4_9-pS20_1-hL43_7-hD6_1-tH6_3-284,50.11705320559621,4.9099076837617,20.074728495590797,43.680137257807644,6.128411772574542,6.336348297769315,301.9748
fork-pL50_1-pD6_4-pS22_6-hL31_0-hD12_4-tH9_2-894,50.10024505625896,6.365586643901709,22.55701666161357,30.960580495770298,12.430263792408676,9.246778019082338,751.944
fork-pL50_1-pD6_6-pS20_7-hL25_5-hD10_3-tH10_3-677,50.091562038059365,6.593984902711494,20.65731875877595,25.498901928050728,10.316967003052094,10.263842963972095,674.0899
fork-pL50_1-pD6_9-pS21_5-hL43_6-hD13_1-tH9_6-468,50.13407516495626,6.936877250774363,21.502061467907797,43.59340796221795,13.14673783009917,9.594177654978553,718.7812
fork-pL50_2-pD6_3-pS18_7-hL41_4-hD6_0-tH6_3-914,50.22893364065627,6.326147093395555,18.747043106278237,41.43894908803362,6.013871388252585,6.328727019149082,238.7218
fork-pL50_2-pD7_5-pS12_6-hL50_8-hD9_5-tH5_6-647,50.159218632339055,7.540634589291999,12.574332432963919,50.84359189705447,9.51750138654602,5.598680861006205,455.0412
fork-pL50_2-pD7_8-pS23_2-hL34_4-hD10_6-tH14_3-729,50.15120653119109,7.828888967414772,23.217023981567532,34.37982043171995,10.553755264621943,14.310115876000054,516.6201
fork-pL50_2-pD8_3-pS23_5-hL59_9-hD12_4-tH7_1-837,50.245227170451976,8.29649508606716,23.467119138045767,59.94881599605677,12.364138308569178,7.105156905113169,500.2048
fork-pL50_2-pD8_5-pS14_0-hL51_0-hD11_7-tH13_5-246,50.18396550451376,8.509299537014037,14.02958006671081,51.03351495266593,11.718347627907393,13.538331644359472,515.0073
fork-pL50_2-pD9_0-pS18_5-hL28_8-hD14_1-tH8_9-171,50.20753211359754,9.01962509972919,18.483764001513592,28.815429083298604,14.061982586121,8.939592278051682,934.9938
fork-pL50_2-pD9_3-pS23_5-hL54_1-hD10_6-tH5_2-044,50.16042641640111,9.345808705600527,23.497247707200717,54.10199596322461,10.59303004308682,5.21065398277063,394.1557
fork-pL50_2-pD9_5-pS20_4-hL42_7-hD13_8-tH8_7-725,50.199330850300434,9.511243960239014,20.4113988230022,42.670578701988894,13.829604952499011,8.676636570464497,716.8108
fork-pL50_3-pD4_0-pS24_5-hL58_7-hD12_1-tH8_4-475,50.303367322765894,4.046781411890083,24.486940686653703,58.698555209261805,12.09357064848922,8.408939382006848,521.0948
fork-pL50_4-pD6_2-pS14_8-hL28_6-hD11_3-tH5_2-359,50.41850011508625,6.171723867767117,14.807027563116716,28.639205405979187,11.314311337135615,5.185301779099468,850.8522
fork-pL50_4-pD7_8-pS15_2-hL34_1-hD14_5-tH6_2-294,50.356653831914976,7.776384734765527,15.210041723619694,34.108944708515374,14.487851720643823,6.209563645838269,1017.6619999999999
fork-pL50_5-pD5_0-pS22_8-hL41_8-hD6_9-tH7_5-703,50.50439103589723,5.034638622037036,22.84827280224905,41.7705821060774,6.940112837358037,7.549060380235157,352.619
fork-pL50_6-pD5_6-pS17_9-hL47_0-hD6_7-tH5_0-281,50.60988065073811,5.639121520878791,17.908299973357575,47.04775997886317,6.7143684564369455,5.03844864058262,298.7039
fork-pL50_7-pD6_1-pS14_9-hL34_8-hD9_4-tH11_1-061,50.70586846452702,6.0729758917842185,14.872511015108385,34.788836417928174,9.353640947216887,11.079823720823292,573.0079
fork-pL50_7-pD6_8-pS21_1-hL41_4-hD13_3-tH11_8-768,50.73963379634239,6.823225450586937,21.135092808155953,41.421954430557825,13.282872073051596,11.82101079958698,713.2687
fork-pL50_7-pD7_4-pS17_2-hL29_9-hD8_1-tH11_3-487,50.65477794275985,7.368219919406832,17.21617488424202,29.924731188338068,8.144523137282674,11.258047199949178,432.4992
fork-pL50_7-pD8_9-pS20_3-hL44_5-hD13_0-tH10_4-832,50.67943467358013,8.871412354563393,20.31071293483558,44.51784154475875,12.995779147426436,10.365703938969164,637.0233
fork-pL50_8-pD7_8-pS12_5-hL43_7-hD7_2-tH5_4-005,50.776495103324145,7.786932945425187,12.519099687455276,43.74935454730397,7.236955446012684,5.449427395125253,300.3478
fork-pL51_0-pD4_7-pS20_8-hL36_0-hD9_2-tH8_1-884,51.00924311106938,4.657005462721816,20.76200429064013,35.986217331846035,9.215611759393983,8.05532886449209,544.9873
fork-pL51_0-pD7_7-pS22_3-hL27_5-hD14_7-tH7_6-422,50.995281047034176,7.682835232548023,22.320342592660356,27.50765150926637,14.72406368688608,7.616459455620661,933.0121
fork-pL51_1-pD4_9-pS18_2-hL25_7-hD7_4-tH12_7-104,51.107123778372404,4.874250831811712,18.227234130279488,25.71244772062233,7.4276244299797645,12.729301088764071,469.2471
fork-pL51_1-pD5_1-pS16_5-hL33_6-hD14_3-tH13_6-653,51.097625971245286,5.12025843144048,16.470757640564052,33.58602405256312,14.343360811059215,13.621013983940294,759.1672
fork-pL51_1-pD7_1-pS18_9-hL28_8-hD8_3-tH6_0-407,51.131952089815904,7.126598024044576,18.93286138283512,28.75949889859911,8.268010641932753,6.042664085836088,505.5114
